Species	flagellar_proteins	No_of_proteins
Pseudoxanthomonas sp. X-1 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motY,rpoD,rpoN	43
Pseudoxanthomonas suwonensis 11-1 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	45
Pseudoxanthomonas suwonensis strain J1 	flgA,flgB,flgC,flgD,flgE,flgF,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	43
Psychrobacillus sp. AK 1817 	flgB,flgC,flgD,flgF,flgG,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD	37
Psychrobacillus sp. INOP01 	flgB,flgC,flgD,flgF,flgG,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	38
Psychrobacillus sp. PB01 	flgB,flgC,flgD,flgF,flgG,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	38
Psychrobacter alimentarius strain PAMC 27889 	flgT,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	11
Psychrobacter arcticus 273-4 	flgT,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	11
Psychrobacter arenosus strain Psychrobacter arenosus R7 	flgT,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	11
Psychrobacter cryohalolentis K5 	flgT,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	11
Psychrobacter cryohalolentis strain FDAARGOS_308 	flgT,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	11
Psychrobacter sanguinis FDAARGOS_1598 	flgT,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	12
Psychrobacter sp. 28M-43 	flgT,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	11
Psychrobacter sp. AntiMn-1 	flgT,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	12
Psychrobacter sp. DAB_AL43B strain DAB_AL43B 	flgT,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	12
Psychrobacter sp. G 	flgT,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	12
Psychrobacter sp. KCTC 72983 	flgT,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	11
Psychrobacter sp. KH172YL61 	flgT,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	10
Psychrobacter sp. P11F6 	flgT,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	12
Psychrobacter sp. P11G3 	flgT,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	12
Psychrobacter sp. P11G5 	flgT,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	12
Psychrobacter sp. P2G3 	flgT,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	12
Psychrobacter sp. PAMC27889 	flgT,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	10
Psychrobacter sp. PraFG1 	fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	9
Psychrobacter sp. PRwf-1 	fliH,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	10
Psychrobacter sp. WY6 	flgT,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	11
Psychrobacter sp. YP14 	fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	9
Psychrobacter urativorans strain R310.10B 	flgT,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	11
Psychroflexus sp. ALD_RP9 	flgJ,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motY,rpoD,rpoN	12
Psychromonas ingrahamii 37 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliL,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	39
Psychromonas sp. L1A2 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgO,flgP,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Psychroserpens sp. NJDZ02 	flgD,flgJ,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Psychrosphaera aestuarii strain PSC101 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgO,flgP,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Psychrosphaera sp. MTZ26 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgM,flgN,flgO,flgP,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	45
Pusillimonas sp. DMV24BSW_D 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motY,rpoD,rpoN	45
Pusillimonas sp. T7-7 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motY,rpoD,rpoN	45
Pusillimonas sp. ye3 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,flhE,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motY,rpoD,rpoN	46
Pyramidobacter piscolens CE91-St28 	flgT,flhC,fliA,fliI,fliY,flrA,flrC,motX,rpoD	9
Pyrobaculum aerophilum str. IM2 	fliI,fliY,flrA,flrC	4
Pyrobaculum arsenaticum DSM 13514 	fliI,fliY,flrA,flrC	4
Pyrobaculum calidifontis JCM 11548 	fliI,fliY,flrA,flrC	4
Pyrobaculum islandicum DSM 4184 	fliI,fliY,flrA,flrC	4
Pyrobaculum neutrophilum V24Sta 	fliI,fliY,flrA,flrC	4
Pyrobaculum oguniense TE7 	fliI,fliY,flrA,flrC	4
Pyrobaculum sp. 1860 	fliI,fliY,flrA,flrC	4
Pyrobaculum sp. WP30 	fliI,fliY,flrA	3
Pyrococcus abyssi GE5 	fliH,fliI,fliM,fliY,flrA,flrC	6
Pyrococcus furiosus COM1 	fliH,fliI,fliY,flrA,flrC	5
Pyrococcus furiosus DSM 3638 	fliH,fliI,fliY,flrA,flrC	5
Pyrococcus horikoshii OT3 	fliH,fliI,fliM,fliY,flrA,flrC	6
Pyrococcus sp. NA2 	fliH,fliI,fliM,flrA,flrC	5
Pyrococcus sp. NCB100 	fliH,fliI,fliM,fliN,fliY,flrA,flrC	7
Pyrococcus sp. ST04 	fliH,fliI,fliM,fliY,flrA,flrC	6
Pyrococcus yayanosii CH1 	fliH,fliI,fliM,fliN,fliY,flrA,flrC	7
Pyrodictium delaneyi strain Su06 	fliH,fliI,fliY,flrA,flrC	5
Pyrolobus fumarii 1A 	fliI,fliY,flrA,flrC	4
Pyruvatibacter mobilis strain CGMCC 1.15125 	flgA,flgB,flgC,flgD,flgE,flgF,flgH,flgI,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	38
Pyxidicoccus sp. SCPEA002 	flgA,flgD,flgP,flgT,flhA,flhB,fliA,fliF,fliG,fliH,fliI,fliJ,fliK,fliM,fliO,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	27
Qipengyuania aquimaris DP4N0-2 	flgA,fliA,fliI,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	11
Qipengyuania sediminis strain CGMCC 1.12928 	flgA,fliA,fliH,fliI,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	12
Qipengyuania sp. 1NDH13 	flgA,fliA,fliI,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	11
Qipengyuania sp. 1NDH1 	flgA,fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	12
Qipengyuania sp. 1NDW3 	flgA,fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	12
Qipengyuania sp. 1XM2-8 	flgA,fliA,fliI,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	11
Quatrionicoccus australiensis D9 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	44
Rahnella aceris S2-A69 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgO,flgP,flgT,flhA,flhB,flhC,flhD,flhE,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,fliZ,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	50
Rahnella aquatilis CIP 78.65 = ATCC 33071 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,flhE,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,fliZ,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	48
Rahnella aquatilis H145 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,flhE,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,fliZ,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	48
Rahnella aquatilis HX2 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgO,flhA,flhB,flhC,flhD,flhE,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,fliZ,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	48
Rahnella inusitata strain Se8.10.12 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgP,flgT,flhA,flhB,flhC,flhD,flhE,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,fliZ,flrA,flrC,motA,motB,motD,motX,motY,rpoD,rpoN	49
Rahnella sp. Y9602 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,flhC,flhD,flhE,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,fliZ,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	47
Rahnella victoriana JZ-GX1 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,flhE,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,fliZ,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	48
Raineyella sp. CBA3103 	flgA,flgJ,fliA,fliH,fliI,fliY,flrA,flrC,motX,rpoD	10
Ralstonia eutropha JMP134 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,flhE,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motD,motX,motY,rpoD,rpoN	49
Ralstonia insidiosa 15-1563-3 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Ralstonia mannitolilytica strain Guangzhou-RMAB10 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	47
Ralstonia pickettii 12D 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Ralstonia pickettii 12J 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Ralstonia pickettii DTP0602 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,flhE,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	48
Ralstonia pickettii FDAARGOS_1535 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Ralstonia pseudosolanacearum SL1931 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgO,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	48
Ralstonia solanacearum CFBP2957 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Ralstonia solanacearum CMR15 	flgA,flgC,flgD,flgE,flgF,flgH,flgI,flgT,flhA,flhB,fliA,fliE,fliF,fliH,fliI,fliN,fliP,fliQ,fliR,fliT,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	28
Ralstonia solanacearum FJAT-1458 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgO,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motD,motX,motY,rpoD,rpoN	48
Ralstonia solanacearum 	flgA,flgT,flhA,flhB,fliA,fliF,fliH,fliI,fliJ,fliP,fliQ,fliR,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	22
Ralstonia solanacearum FQY_4 	flgA,flgB,flgC,flgD,flgE,flgF,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgO,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	47
Ralstonia solanacearum GMI1000 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Ralstonia solanacearum MolK2 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgO,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Ralstonia solanacearum OE1-1 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Ralstonia solanacearum Po82 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgO,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	48
Ralstonia solanacearum PSI07 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Ralstonia sp. 56D2 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Ralstonia sp. bin465 	flgA,flgJ,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	35
Ralstonia syzygii strain LLRS-1 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motD,motX,motY,rpoD,rpoN	46
Ralstonia syzygii subsp. celebesensis strain UGMSS_Db01 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,fliA,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	43
Ramlibacter sp. H242 	flgF,flgG,flgI,flgK,flhA,flhB,fliA,fliF,fliH,fliI,fliM,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	22
Ramlibacter tataouinensis strain 5-10 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgT,flhA,flhB,fliA,fliE,fliF,fliH,fliI,fliN,fliO,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	31
Ramlibacter tataouinensis TTB310 	flgT,flhA,flhB,fliA,fliF,fliH,fliI,fliM,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	20
Raoultella electrica strain DSM 102253 	flgJ,flgT,flhC,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	15
Raoultella ornithinolytica B6 	flgJ,fliA,fliH,fliI,fliL,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Raoultella ornithinolytica OHMEATKPC2_NDM5 	flgJ,flgP,fliA,fliH,fliI,fliL,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	15
Raoultella planticola A2-F21 	flgI,flgJ,fliA,fliH,fliI,fliL,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	15
Raoultella sp. NCTC 9189 strain NCTC9189 	flgJ,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Raoultella sp. X13 	flgJ,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	13
Raoultella sp. XY-1 	flgJ,fliA,fliH,fliI,fliL,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Raoultella terrigena strain JH01 	flgI,flgJ,fliA,fliH,fliI,fliL,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	15
Raoultibacter timonensis CE91-St30 	flgA,flgJ,fliA,fliI,fliY,flrA,flrC,motX,rpoD,rpoN	10
Rapeseed phyllody phytoplasma strain RP166 	fliI,fliY,flrA,rpoD	4
Raphidiopsis curvata NIES-932 	flgD,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,rpoD	11
Rathayibacter festucae DSM 15932 	fliA,fliH,fliI,fliY,flrA,flrC,rpoD	7
Rathayibacter festucae strain VKM Ac-2802 	fliA,fliH,fliI,fliY,flrA,flrC,rpoD	7
Rathayibacter iranicus strain NCCPB 2253 	fliA,fliH,fliI,fliY,flrA,flrC,rpoD	7
Rathayibacter rathayi strain DSM 7485 	flgD,fliA,fliH,fliI,fliY,flrA,flrC,rpoD	8
Rathayibacter sp. VKM Ac-2759 	fliA,fliH,fliI,fliY,flrA,flrC,rpoD	7
Rathayibacter sp. VKM Ac-2760 	flgD,fliA,fliH,fliI,fliY,flrA,flrC,motB,rpoD	9
Rathayibacter sp. VKM Ac-2762 	flgD,fliA,fliH,fliI,fliY,flrA,flrC,rpoD	8
Rathayibacter sp. VKM Ac-2801 	flgD,fliA,fliH,fliI,fliY,flrA,flrC,rpoD	8
Rathayibacter sp. VKM Ac-2804 	fliA,fliH,fliI,fliY,flrA,flrC,rpoD	7
Rathayibacter sp. VKM Ac-2805 	flgD,fliA,fliH,fliI,fliY,flrA,flrC,rpoD	8
Rathayibacter tanaceti strain VKM Ac-2761 	flgD,fliA,fliH,fliI,fliY,flrA,flrC,rpoD	8
Rathayibacter toxicus strain 70137 	fliA,fliH,fliI,fliY,flrA,flrC,rpoD	7
Rathayibacter tritici strain NCPPB 1953 	flgD,fliA,fliH,fliI,fliY,flrA,flrC,rpoD	8
Reinekea forsetii strain Hel1_31_D35 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgP,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	45
Renibacterium salmoninarum ATCC 33209 	flgA,fliA,fliH,fliI,fliY,flrA,flrC,rpoD	8
Renibacterium salmoninarum strain DJ2R 	flgA,fliA,fliH,fliI,fliY,flrA,flrC,rpoD	8
Rheinheimera sp. D18 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgO,flgP,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
